# atom_fire_audit — 79 atoms × 4749 envelopes (4749 successful Synthesize runs)

atom_id                                             count  fires-on (sample / full)
develop-platform-rules-local                         2305  [develop/local/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/local/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/local/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/local/dev/manual/actions/dynamic/dep=false/st=_ develop/local/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +2300 more]
develop-first-deploy-env-vars                        2306  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE ... +2301 more]
develop-first-deploy-execute                         2306  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE ... +2301 more]
develop-first-deploy-intro                           2306  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE ... +2301 more]
develop-first-deploy-scaffold-yaml                   2306  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE ... +2301 more]
develop-first-deploy-verify                          2306  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE ... +2301 more]
develop-first-deploy-verify-cmds                     2306  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE ... +2301 more]
develop-intro                                        2306  [develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=true/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=true/st=ACTIVE ... +2301 more]
develop-strategy-awareness                           3458  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +3453 more]
develop-change-drives-deploy                         4610  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +4605 more]
